Feature,Importance
urgent,0.027544157787399742
service,0.026553971031195802
num_failed_logins,0.026315473304864626
wrong_fragment,0.02623114548348851
src_bytes,0.026202650397607944
rerror_rate,0.02615445294580146
dst_host_srv_rerror_rate,0.025908429868048515
num_shells,0.02589252840267385
dst_host_diff_srv_rate,0.02562853229346973
dst_host_count,0.025602858981796463
dst_host_srv_diff_host_rate,0.02550298286020369
dst_host_serror_rate,0.025299584412730298
root_shell,0.025212876524775104
su_attempted,0.025173154218579876
dst_host_srv_count,0.025143458465277345
duration,0.02510604609504767
serror_rate,0.02510293508871669
srv_serror_rate,0.02507485671150813
diff_srv_rate,0.024965130832357452
protocol_type,0.02486191607820362
srv_diff_host_rate,0.024489022461958377
dst_host_same_srv_rate,0.0243909944870052
num_outbound_cmds,0.024267215336123894
is_guest_login,0.02395544514360694
num_compromised,0.023877788212908153
dst_bytes,0.023762598885061617
num_file_creations,0.023696343456718064
is_host_login,0.02359911675270054
num_access_files,0.02357503642201665
hot,0.023243759085183547
count,0.023211534297177122
dst_host_rerror_rate,0.02320526113668838
srv_rerror_rate,0.023160814319853652
dst_host_srv_serror_rate,0.022799694335588597
same_srv_rate,0.02274987990800272
land,0.02261350360864518
srv_count,0.022587541278279177
logged_in,0.022396445490500582
num_root,0.021866546637214847
dst_host_same_src_port_rate,0.021844723971082624
flag,0.021229592989937582
